symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-05-13 00:00:00+00:00,158.45,164.43,157.81,163.5,16422819,39.3454517681,40.8303732044,39.1865304104,40.5994406064,65691276,0.0,1.0
NVDA,2019-05-14 00:00:00+00:00,162.04,163.46,158.49,160.05,13121972,40.2369012591,40.5895080216,39.355384353,39.7427551624,52487888,0.0,1.0
NVDA,2019-05-15 00:00:00+00:00,159.58,161.05,157.41,159.8,12558001,39.6260472904,39.9910697839,39.0872045618,39.6806765071,50232004,0.0,1.0
NVDA,2019-05-16 00:00:00+00:00,160.19,161.91,157.65,159.36,19527204,39.7775192094,40.2046203583,39.146800071,39.5714180736,78108816,0.0,1.0
NVDA,2019-05-17 00:00:00+00:00,156.53,163.71,154.94,158.5,25551698,38.8686876949,40.6515866769,38.4738674468,39.3578674992,102206792,0.0,1.0
NVDA,2019-05-20 00:00:00+00:00,151.75,154.77,150.75,152.55,14301634,37.6817438044,38.4316539612,37.433429183,37.8803955016,57206536,0.0,1.0
NVDA,2019-05-21 00:00:00+00:00,155.06,155.7,152.64,154.2,9046247,38.5036652014,38.6625865591,37.9027438175,38.290114627,36184988,0.0,1.0
NVDA,2019-05-22 00:00:00+00:00,152.2,154.55,151.76,153.5,8146740,37.7934853841,38.3770247445,37.6842269506,38.116294392,32586960,0.0,1.0
NVDA,2019-05-23 00:00:00+00:00,147.32,149.69,144.91,149.69,14796109,36.5817100314,37.1702156843,35.9832717937,37.1702156843,59184436,0.0,1.0
NVDA,2019-05-24 00:00:00+00:00,145.15,149.5,144.88,148.08,8939632,36.0428673029,37.1230359062,35.9758223551,36.7704291437,35758528,0.0,1.0
NVDA,2019-05-28 00:00:00+00:00,143.33,147.18,143.25,145.86,10708852,35.5909346919,36.5469459844,35.5710695221,36.2191706841,42835408,0.0,1.0
NVDA,2019-05-29 00:00:00+00:00,140.34,142.82,138.94,141.41,13995037,34.8484739737,35.4642942349,34.5008335037,35.1141706187,55980148,0.0,1.0
NVDA,2019-05-30 00:00:00+00:00,139.11,141.75,137.57,140.31,9857490,34.5827773288,35.2390819233,34.199932982,34.881097599,39429960,0.16,1.0
NVDA,2019-05-31 00:00:00+00:00,135.46,139.85,135.39,137.14,9742992,33.6753865068,34.7667414954,33.657984491,34.0930348851,38971968,0.0,1.0
NVDA,2019-06-03 00:00:00+00:00,133.78,137.47,132.6,135.91,11966080,33.2577381284,34.1750729594,32.9643898627,33.7872566081,47864320,0.0,1.0
NVDA,2019-06-04 00:00:00+00:00,143.0,143.21,135.47,136.36,16045885,35.5498322048,35.6020382521,33.677872509,33.8991267095,64183540,0.0,1.0
NVDA,2019-06-05 00:00:00+00:00,141.28,146.19,139.82,145.97,12790385,35.1222398175,36.3428669233,34.7592834887,36.2881748737,51161540,0.0,1.0
NVDA,2019-06-06 00:00:00+00:00,143.78,144.77,141.35,141.45,10203462,35.7437403805,35.9898546035,35.1396418333,35.1645018558,40813848,0.0,1.0
NVDA,2019-06-07 00:00:00+00:00,145.5,146.88,143.25,144.02,8721438,36.1713327679,36.5144010787,35.6119822611,35.8034044346,34885752,0.0,1.0
NVDA,2019-06-10 00:00:00+00:00,148.43,151.19,147.76,147.76,10069522,36.8997314277,37.5858680493,36.7331692768,36.7331692768,40278088,0.0,1.0
NVDA,2019-06-11 00:00:00+00:00,150.75,152.36,149.16,150.84,9596751,37.4764839502,37.8767303128,37.0812095921,37.4988579705,38387004,0.0,1.0
NVDA,2019-06-12 00:00:00+00:00,146.2,149.25,145.59,149.0,8972298,36.3453529255,37.1035836124,36.1937067881,37.0414335561,35889192,0.0,1.0
NVDA,2019-06-13 00:00:00+00:00,148.26,149.0,146.38,147.09,7702027,36.8574693894,37.0414335561,36.3901009661,36.566607126,30808108,0.0,1.0
NVDA,2019-06-14 00:00:00+00:00,144.64,145.49,142.84,144.51,9860656,35.9575365742,36.1688467656,35.5100561688,35.9252185449,39442624,0.0,1.0
NVDA,2019-06-17 00:00:00+00:00,145.03,146.52,143.65,144.57,6901037,36.054490662,36.4249049976,35.7114223512,35.9401345584,27604148,0.0,1.0
NVDA,2019-06-18 00:00:00+00:00,152.88,155.11,147.06,147.5,14547950,38.0060024299,38.5603809321,36.5591491192,36.6685332183,58191800,0.0,1.0
NVDA,2019-06-19 00:00:00+00:00,153.12,154.7568,152.0738,154.3,8291099,38.065666484,38.4725753326,37.8055809283,38.3590147497,33164396,0.0,1.0
